date,min,max,mean,cloud_cover,max_temp,mean_temp,min_temp,precipitation,snow_depth
2012-01-01,0.445,60.159,12.536492795389048,7.0,11.9,12.2,11.3,7.2,0.0
2012-01-02,0.463,65.824,12.864265129682996,1.0,12.6,8.1,4.2,2.0,0.0
2012-01-03,0.464,64.652,12.893674351585016,5.0,11.7,8.7,4.7,7.8,0.0
2012-01-04,0.838,68.02,12.829674351585014,4.0,11.0,8.1,4.4,2.0,0.0
2012-01-05,0.764,63.598,12.980193083573488,4.0,10.6,8.3,5.5,0.2,0.0
2012-01-06,0.445,76.663,12.562766570605186,3.0,10.6,7.0,3.3,0.0,0.0
2012-01-07,0.45,79.194,12.389391930835734,6.0,10.4,7.0,3.4,0.0,0.0
2012-01-08,0.537,83.707,13.141824207492794,7.0,12.8,8.9,7.3,0.0,0.0
2012-01-09,0.48,72.55,12.286959654178672,7.0,11.4,9.8,6.8,0.2,0.0
2012-01-10,0.449,85.789,11.92042074927954,7.0,11.2,10.0,8.6,0.0,0.0
2012-01-11,0.45,72.931,11.865109510086455,5.0,13.6,9.0,6.7,0.0,0.0
2012-01-12,0.466,71.228,11.98957636887608,4.0,7.1,10.1,6.6,0.0,0.0
2012-01-13,0.448,81.069,12.439443804034582,0.0,6.5,3.7,0.2,0.0,0.0
2012-01-14,0.887,73.107,13.224354466858788,1.0,6.7,1.7,-3.1,0.2,0.0
2012-01-15,0.884,78.906,13.894495677233431,1.0,7.2,2.5,-1.8,0.0,0.0
2012-01-16,1.409,79.022,13.107340057636888,0.0,8.7,2.9,-1.4,0.2,0.0
2012-01-17,1.308,80.357,13.043305475504322,3.0,12.4,3.1,-2.5,0.6,0.0
2012-01-18,1.0,71.543,12.569953890489916,7.0,11.0,5.9,-0.7,4.0,0.0
2012-01-19,0.447,72.137,12.202864553314122,5.0,11.3,9.7,8.4,0.8,0.0
2012-01-20,0.498,99.666,12.631899135446687,6.0,12.8,7.7,4.0,0.0,0.0
2012-01-21,0.446,97.101,12.506873198847265,6.0,12.0,10.1,7.4,0.0,0.0
2012-01-22,0.445,97.408,13.60542363112392,5.0,8.6,8.7,5.4,0.0,0.0
2012-01-23,0.447,96.384,12.713974063400576,6.0,10.4,6.0,3.4,1.4,0.0
2012-01-24,0.444,96.309,12.817585014409223,6.0,10.2,4.9,-0.6,6.2,0.0
2012-01-25,0.65,96.004,12.493962536023052,8.0,9.1,7.1,3.9,1.0,0.0
2012-01-26,1.176,95.751,12.314412103746395,5.0,9.3,7.7,6.3,0.2,0.0
2012-01-27,0.446,95.083,12.361121037463978,1.0,6.7,5.8,2.2,0.4,0.0
2012-01-28,0.445,95.646,12.869005763688762,5.0,4.9,4.3,1.9,0.0,0.0
2012-01-29,1.155,95.288,13.811622478386166,8.0,4.3,3.1,1.3,0.0,0.0
2012-01-30,0.445,58.638,13.278668587896254,7.0,2.3,2.4,0.5,0.0,0.0
2012-01-31,1.12,70.801,13.613403458213256,5.0,3.9,0.6,-1.1,0.0,0.0
2012-02-01,1.069,60.936,13.615478386167148,3.0,2.0,1.5,-0.9,0.0,0.0
2012-02-02,1.043,67.653,13.89877521613833,0.0,2.2,-0.6,-3.2,0.0,0.0
2012-02-03,0.762,72.657,14.061109510086457,2.0,1.9,-1.2,-4.5,0.0,2.0
2012-02-04,0.421,85.415,14.578097982708934,3.0,2.4,-2.2,-6.3,10.4,0.0
2012-02-05,0.711,62.823,15.603279538904898,8.0,4.5,-1.1,-4.6,0.0,7.0
2012-02-06,0.729,64.485,13.784685878962536,8.0,4.1,2.6,0.7,0.2,3.0
2012-02-07,0.724,68.975,13.597417867435158,5.0,0.7,2.6,1.1,0.0,0.0
