date,cloud_cover,max_temp,mean_temp,min_temp,precipitation,snow_depth
2012-01-01,7.0,11.9,12.2,11.3,7.2,0.0
2012-01-02,1.0,12.6,8.1,4.2,2.0,0.0
2012-01-03,5.0,11.7,8.7,4.7,7.8,0.0
2012-01-04,4.0,11.0,8.1,4.4,2.0,0.0
2012-01-05,4.0,10.6,8.3,5.5,0.2,0.0
2012-01-06,3.0,10.6,7.0,3.3,0.0,0.0
2012-01-07,6.0,10.4,7.0,3.4,0.0,0.0
2012-01-08,7.0,12.8,8.9,7.3,0.0,0.0
2012-01-09,7.0,11.4,9.8,6.8,0.2,0.0
2012-01-10,7.0,11.2,10.0,8.6,0.0,0.0
2012-01-11,5.0,13.6,9.0,6.7,0.0,0.0
2012-01-12,4.0,7.1,10.1,6.6,0.0,0.0
2012-01-13,0.0,6.5,3.7,0.2,0.0,0.0
2012-01-14,1.0,6.7,1.7,-3.1,0.2,0.0
2012-01-15,1.0,7.2,2.5,-1.8,0.0,0.0
2012-01-16,0.0,8.7,2.9,-1.4,0.2,0.0
2012-01-17,3.0,12.4,3.1,-2.5,0.6,0.0
2012-01-18,7.0,11.0,5.9,-0.7,4.0,0.0
2012-01-19,5.0,11.3,9.7,8.4,0.8,0.0
2012-01-20,6.0,12.8,7.7,4.0,0.0,0.0
2012-01-21,6.0,12.0,10.1,7.4,0.0,0.0
2012-01-22,5.0,8.6,8.7,5.4,0.0,0.0
2012-01-23,6.0,10.4,6.0,3.4,1.4,0.0
2012-01-24,6.0,10.2,4.9,-0.6,6.2,0.0
2012-01-25,8.0,9.1,7.1,3.9,1.0,0.0
2012-01-26,5.0,9.3,7.7,6.3,0.2,0.0
2012-01-27,1.0,6.7,5.8,2.2,0.4,0.0
2012-01-28,5.0,4.9,4.3,1.9,0.0,0.0
2012-01-29,8.0,4.3,3.1,1.3,0.0,0.0
2012-01-30,7.0,2.3,2.4,0.5,0.0,0.0
2012-01-31,5.0,3.9,0.6,-1.1,0.0,0.0
2012-02-01,3.0,2.0,1.5,-0.9,0.0,0.0
2012-02-02,0.0,2.2,-0.6,-3.2,0.0,0.0
2012-02-03,2.0,1.9,-1.2,-4.5,0.0,2.0
2012-02-04,3.0,2.4,-2.2,-6.3,10.4,0.0
2012-02-05,8.0,4.5,-1.1,-4.6,0.0,7.0
2012-02-06,8.0,4.1,2.6,0.7,0.2,3.0
2012-02-07,5.0,0.7,2.6,1.1,0.0,0.0
2012-02-08,8.0,1.8,-1.4,-3.5,0.0,0.0
2012-02-09,8.0,2.4,0.3,-1.3,2.0,0.0
2012-02-10,5.0,2.4,0.3,-1.9,0.0,4.0
2012-02-11,1.0,4.8,-2.6,-7.6,0.0,2.0
