"시점",총지수,식료품 및 비주류음료,주류·담배,의복·신발,주택·수도·전기 및 연료,가정용품 및 가사서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
"2018. 01",97.84,93.60,98.79,97.89,97.97,94.47,98.56,101.54,104.92,99.63,100.45,95.35,95.77
"2018. 02",98.55,96.60,99.11,98.44,98.14,95.22,98.53,101.72,104.79,101.21,100.75,95.73,96.46
"2018. 03",98.54,95.11,98.88,98.51,98.32,97.29,98.60,101.56,104.68,100.89,100.96,96.16,96.64
"2018. 04",98.77,95.63,98.83,98.49,98.32,96.75,98.20,101.38,105.18,102.73,101.40,96.48,96.81
"2018. 05",98.78,94.68,98.79,98.53,98.31,97.63,98.16,102.16,105.07,102.95,101.42,96.73,96.51
"2018. 06",98.43,92.87,98.59,98.53,98.18,97.39,98.32,102.55,104.97,100.70,101.42,96.81,96.66
"2018. 07",98.39,93.50,98.72,98.45,97.18,97.83,97.33,102.72,104.38,102.66,101.43,97.23,96.52
"2018. 08",99.23,98.77,98.55,98.45,97.39,97.67,97.45,102.93,104.28,103.58,101.51,97.46,96.74
"2018. 09",99.86,101.64,98.61,98.53,98.54,97.62,97.37,102.88,104.19,103.60,101.53,97.48,96.94
"2018. 10",99.51,97.85,98.61,98.53,98.73,97.98,97.25,103.85,104.14,103.08,101.55,97.73,96.80
"2018. 11",98.98,95.41,98.80,98.84,98.71,97.76,97.17,102.44,103.96,101.14,101.54,98.02,96.91
"2018. 12",98.71,94.89,98.41,98.90,98.78,97.66,97.21,100.69,103.66,99.91,101.58,98.44,96.64
"2019. 01",98.76,94.92,98.70,98.31,98.67,98.50,98.18,99.10,103.29,100.76,101.96,98.80,97.16
"2019. 02",99.26,95.56,98.55,98.90,99.68,99.74,98.27,99.51,102.43,101.63,102.04,98.86,97.73
"2019. 03",99.06,94.69,98.28,98.93,99.54,99.81,98.24,99.72,102.14,100.82,102.34,98.54,97.85
"2019. 04",99.44,95.85,99.16,98.79,99.35,100.56,98.33,100.82,102.43,102.00,102.37,98.75,98.18
"2019. 05",99.49,95.28,99.52,98.92,99.42,99.50,98.38,102.30,102.22,101.45,102.41,98.85,98.49
"2019. 06",99.36,94.49,99.81,99.04,99.35,99.27,98.68,102.55,102.05,100.33,102.55,98.98,98.32
"2019. 07",99.11,93.18,99.71,99.03,98.52,100.23,98.41,102.32,101.62,102.21,102.49,99.13,98.37
"2019. 08",99.39,94.37,99.78,99.03,98.56,100.07,98.47,102.49,102.01,103.22,102.51,99.39,98.31
"2019. 09",99.73,97.25,100.14,99.06,99.60,99.68,98.60,102.54,102.29,101.89,100.72,99.23,98.24
"2019. 10",99.95,97.54,100.21,99.25,99.82,100.42,98.63,102.59,102.23,102.41,101.11,99.30,98.40
"2019. 11",99.42,94.86,100.03,99.82,99.83,99.70,98.60,102.02,101.43,100.41,101.26,99.35,98.47
"2019. 12",99.61,95.99,100.02,99.83,99.93,100.05,98.65,102.31,101.38,99.47,101.33,99.61,98.39
"2020. 01",99.80,97.12,100.25,99.57,99.86,99.63,100.47,103.57,100.82,99.99,99.72,99.73,99.45
"2020. 02",99.84,96.59,100.18,99.72,100.22,100.35,100.36,103.60,100.77,99.79,99.85,99.55,99.83
"2020. 03",99.83,98.24,99.87,99.76,100.31,99.72,100.36,101.28,100.73,99.28,99.94,99.42,99.86
"2020. 04",99.61,98.00,99.76,99.36,100.29,99.82,100.41,98.79,101.33,99.72,99.99,99.51,99.32
"2020. 05",99.65,98.45,99.90,99.94,100.19,100.25,100.45,97.12,101.28,100.15,99.88,99.74,99.81
"2020. 06",99.91,99.18,100.00,99.95,100.31,99.68,100.85,98.22,101.84,99.96,99.90,99.83,100.04
"2020. 07",99.74,99.63,100.03,100.25,98.81,99.83,99.90,99.71,101.75,100.27,99.90,100.11,100.05
"2020. 08",100.27,102.16,99.97,100.25,99.07,100.20,99.68,100.05,101.69,100.78,99.97,100.42,100.10
"2020. 09",100.70,104.47,100.06,100.29,99.99,99.62,99.29,99.63,101.61,100.02,100.06,100.19,100.93
"2020. 10",100.23,104.53,100.12,100.19,100.27,100.50,99.52,99.45,87.58,100.39,100.11,100.54,100.14
"2020. 11",100.14,100.88,99.94,100.32,100.27,100.05,99.41,99.03,99.86,99.87,100.32,100.35,100.26
"2020. 12",100.27,100.75,99.92,100.40,100.40,100.36,99.31,99.56,100.75,99.78,100.35,100.60,100.20
"2021. 01",100.86,102.79,100.14,100.26,100.34,100.92,100.17,101.17,99.30,99.99,100.57,101.03,101.42
"2021. 02",101.33,105.05,100.22,100.34,100.76,100.63,100.14,101.74,99.34,99.95,100.71,101.18,101.11
"2021. 03",101.57,105.33,99.91,100.37,101.11,100.05,100.22,102.82,99.40,99.74,100.85,101.52,101.36
"2021. 04",101.68,104.87,100.85,100.32,101.07,100.16,99.99,103.39,99.41,100.38,100.95,102.07,101.97
"2021. 05",101.74,104.69,100.82,100.45,101.32,100.97,99.68,103.37,98.99,100.45,100.93,102.22,101.98
"2021. 06",101.68,104.08,100.82,100.46,101.33,100.94,99.63,104.09,98.98,99.82,101.06,102.42,101.61
